OBJECTID,image_risk_score
4,0.1
28,0.11068292682926831
29,0.3332010840108401
35,0.2511273712737127
39,0.15151544715447157
54,0.1
70,0.124
71,0.11468292682926831
72,0.4172455284552846
129,0.12409756097560976
130,0.2911436314363144
134,0.29418644986449866
225,0.30717615176151764
235,0.12981029810298103
280,0.33024715447154473
290,0.236
300,0.24668292682926832
306,0.1
307,0.5483457994579947
309,0.08098211382113821
312,0.4700303523035231
317,0.24909918699186992
332,0.12258211382113822
352,0.24400000000000002
364,0.3738157181571817
373,0.10400000000000001
380,0.11265474254742548
381,0.1
382,0.2478829268292683
387,0.2164444444444444
389,0.08701029810298103
393,0.10432737127371274
394,0.14720867208672087
431,0.3046146341463415
467,0.1
472,0.21677181571815718
477,0.09886070460704607
486,0.229810298102981
519,0.27031544715447153
531,0.4279924119241193
550,0.22981029810298104
554,0.1
558,0.24373333333333333
588,0.19324878048780486
598,0.4432097560975611
605,0.11068292682926831
612,0.2653257452574526
631,0.24585907859078593
651,0.23644444444444446
672,0.24969322493224935
675,0.31393604336043357
677,0.3865745257452575
683,0.4579566395663957
695,0.21647696476964767
698,0.0986829268292683
699,0.40714905149051495
701,0.3016932249322493
705,
745,0.31781029810298106
751,0.5250688346883469
755,0.2716487804878049
759,0.37109159891598914
761,0.3000249322493225
776,
785,0.2581539295392954
793,0.29873170731707316
794,0.2581214092140921
797,0.13802059620596205
803,0.34418319783197826
809,0.1
810,0.48406504065040656
819,0.2522428184281843
829,0.14121626016260164
837,0.4099165311653117
842,0.1
865,0.3192086720867209
884,0.23634363143631432
887,0.32376585365853666
903,0.4769951219512196
913,0.31286937669376697
925,0.3595197831978319
926,0.096
932,0.38017018970189703
946,0.24084878048780486
958,0.2384162601626016
960,0.26967371273712737
968,0.30678048780487804
980,0.33743523035230355
998,0.09764444444444445
1002,0.13022222222222224
1003,0.17733333333333332
1009,0.044
1011,0.12213766937669378
1012,0.23147100271002707
1016,0.16071978319783198
1017,0.4453745257452575
1019,0.3641138211382115
1020,0.26923252032520323
1025,0.4097051490514905
1031,0.3998915989159892
1049,0.4117626016260163
1054,0.26425907859078596
1058,0.11333333333333334
1061,0.11244444444444446
1067,0.2806547425474255
1068,0.3199447154471545
1072,0.30985907859078593
1073,0.5235143631436314
1081,0.24400000000000002
1085,0.35200867208672093
1092,0.20757181571815717
1107,0.08536585365853658
1135,0.35721300813008133
1141,0.5129268292682927
1142,0.49442601626016264
1151,0.4650883468834688
1153,0.040444444444444436
1164,0.044
1178,0.31296260162601625
1179,0.3597658536585365
1187,0.1026829268292683
1198,0.20846070460704605
1203,0.14930948509485095
1207,0.4989029810298104
1210,0.1635718157181572
1221,0.22501029810298104
1225,0.3702081300813009
1229,0.42203252032520333
1233,0.1930991869918699
1241,0.2386753387533876
1253,0.23890948509485094
1260,0.26289322493224937
1263,0.5698644986449865
1264,0.3937181571815719
